file,bootstrap_classes
app/views/admin/users/index.html.erb,bg-white mb-6 ml-4 ms-2 mx-auto px-2.5 px-4 px-6 py-0.5 py-3 py-4 py-5 py-8 rounded-full rounded-lg shadow-sm text-left
app/views/admin/users/show.html.erb,bg-white mb-2 mb-4 mb-6 mb-8 ml-4 ml-6 ms-2 mt-1 mt-2 mx-2 mx-auto p-3 p-4 p-6 px-2.5 px-4 py-0.5 py-12 py-5 py-8 rounded-full rounded-lg shadow-sm text-center
app/views/community_ideas/_comment_form.html.erb,d-flex justify-content-end mb-0 mb-2 mb-4 mt-2 py-3 text-center
app/views/community_ideas/_idea_card.html.erb,align-items-center badge bg-secondary card card-body card-img-top card-text card-title d-flex fw-bold justify-content-between justify-content-center mb-2 mb-3 me-1 mt-auto shadow-sm text-center text-muted text-success
app/views/community_ideas/_voting_cards.html.erb,align-items-center badge card card-body d-flex fw-bold justify-content-between justify-content-center mb-2 mb-3 mt-4 p-4 px-3 px-4 py-1 rounded-4 shadow-lg text-center text-dark text-muted text-white
app/views/community_ideas/create_comment.turbo_stream.erb,p-4 rounded-lg
app/views/community_ideas/index.html.erb,align-items-center align-items-end bg-light col-12 col-6 col-md-2 col-md-3 d-flex g-4 justify-content-center mb-4 px-4 py-4 py-5 row row-cols-1 row-cols-lg-3 row-cols-md-2 text-center text-muted
app/views/community_ideas/show.html.erb,align-items-center bg-light bg-success btn btn-close card card-body col-lg-8 d-flex fw-bold justify-content-center justify-content-end mb-0 mb-1 mb-2 mb-4 mb-5 me-3 mt-2 mt-3 p-4 pb-3 pt-4 px-3 px-4 py-2 py-4 py-5 rounded-circle rounded-xl row shadow-elevation-1 shadow-sm text-center text-muted text-white
app/views/ideas_explorer/index.html.erb,align-items-end btn btn-lg col-12 col-6 col-md-2 col-md-3 d-flex form-control form-label fw-bold g-4 gx-3 gy-2 mb-4 mt-4 mt-8 mx-auto p-3 px-6 py-10 rounded row row-cols-1 row-cols-lg-3 row-cols-md-2 shadow-sm text-center
app/views/layouts/admin_sidebar.html.erb,align-items-center bg-light bi bi-calendar-event bi-chevron-double-left bi-eye bi-file-earmark-text bi-graph-up bi-megaphone bi-moon-fill bi-people bi-power bi-speedometer2 bi-upload d-flex d-md-inline d-none fw-medium justify-content-center mb-2 mb-3 me-1 me-2 ms-2 mt-1 mt-auto my-3 p-4 pb-2 pb-3 pt-4 px-3 py-3 text-center text-muted text-white
app/views/layouts/application.html.erb,alert alert-<%= align-items-center badge bg-danger bg-light btn btn-outline-light btn-sm col-md-4 d-flex d-md-inline d-none dropdown dropdown-divider dropdown-menu dropdown-menu-end dropdown-toggle fw-bold fw-semibold mb-2 mb-3 mb-4 me-auto ms-1 mt-2 mt-3 mt-5 my-4 navbar navbar-collapse navbar-expand-lg navbar-light navbar-nav navbar-toggler navbar-toggler-icon pt-4 py-5 rounded-circle row shadow-sm text-center
app/views/pages/home_swipe_deck.html.erb,mb-2 mb-4 mb-8 mx-auto p-6 px-6 py-8 rounded-xl shadow-elevation-2 text-center text-muted-foreground text-primary
app/views/pages/landing.html.erb,align-items-center badge bg-light bg-success bg-transparent bg-white card card-body card-footer card-text card-title col-12 col-lg-8 col-md-4 d-flex d-inline-flex fw-bold justify-content-between justify-content-center mb-0 mb-2 mb-3 mb-4 mb-5 mb-8 me-3 mt-3 mt-4 mt-5 mt-8 mx-auto p-4 p-6 px-4 px-6 px-8 py-16 py-2 py-4 py-5 py-8 rounded rounded-circle rounded-full rounded-lg row shadow-md shadow-sm text-center text-muted text-success text-white
app/views/planning_documents/index.html.erb,align-items-center align-items-end align-items-start badge bg-info bi bi-file-earmark-text bi-file-earmark-x bi-grid bi-list btn-group card card-body card-text card-title col-lg-6 col-md-3 col-xl-4 d-flex form-label g-4 justify-content-between justify-content-end list-group list-group-flush list-group-item mb-0 mb-1 mb-2 mb-3 mb-4 me-2 mt-2 mt-3 mt-auto pb-3 py-4 py-5 row shadow-sm text-center text-muted text-primary
app/views/shared/_header.html.erb,align-items-center bg-white fw-bold fw-medium mb-0 mb-4 py-4 rounded row shadow-sm text-center text-success
app/views/shared/_placeholder_alert.html.erb,alert alert-danger
app/views/submissions/index.html.erb,bg-light bg-success card card-body card-header col-12 col-md-4 d-flex form-label g-3 mb-0 mb-3 mb-4 p-0 py-4 py-5 row table table-hover table-light table-responsive text-center text-muted text-white
app/views/submissions/new.html.erb,alert alert-danger alert-heading bg-light btn btn-lg btn-outline-success btn-success card card-body col-lg-10 d-flex float-end form-control form-control-lg form-label fw-bold fw-medium fw-semibold justify-content-center mb-0 mb-3 mb-4 mb-5 mt-1 mt-3 mt-4 p-3 p-4 p-md-5 pt-3 py-5 rounded row shadow-sm text-center text-muted text-success
app/views/users/dashboard.html.erb,align-items-center align-items-start badge bg-secondary bg-success bi bi-activity bi-bar-chart bi-chevron-down bi-clock-history bi-hand-thumbs-up bi-lightbulb btn btn-outline-light btn-sm card card-body card-header card-text card-title col-9 col-auto col-md-2 col-md-3 col-md-4 col-md-7 d-flex d-inline-flex fw-bold g-3 g-4 justify-content-between justify-content-center list-group list-group-flush list-group-item mb-0 mb-1 mb-2 mb-3 mb-4 mb-5 me-1 me-2 ms-2 mt-4 mt-auto p-4 py-4 py-5 rounded-circle row row-cols-1 row-cols-lg-3 row-cols-md-2 shadow-sm text-center text-dark text-muted text-primary text-success text-white
app/views/users/edit.html.erb,alert alert-danger alert-heading align-items-center bg-light bg-white btn btn-success card card-body card-title col-auto col-lg-8 d-flex form-control form-control-lg form-label fw-bold fw-semibold justify-content-center justify-content-end mb-0 mb-3 mb-4 mt-5 p-4 p-md-5 pt-4 py-4 py-5 row shadow-sm text-dark text-muted text-success
